year,obs.hours,species,spcode,behavior,diet,habitat,tolerance,DDT,pop est,size,count,urban %,TOTAL NE POP,deciduous %,evergreen %,mixed %,cropland %,pasture %,cattles and cows,sheep and lambs,CAN arable,CAN built up,CAN natural,Aug NAO,Sept NAO,Oct NAO,Autumn NAO,Apr NAO,May NAO,Spring NAO
1970,459,AMKE,1,partial,generalist,specialist,tolerant,susceptible,2800000,116,409,0.05,41889.402,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,0.1,-0.09,-0.92,-0.303333333,-1.3,1.14,-0.08
1970,459,BAEA,2,partial,generalist,generalist,tolerant,susceptible,200000,4790,25,0.05,41889.402,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,0.1,-0.09,-0.92,-0.303333333,-1.3,1.14,-0.08
1970,459,BWHA,4,complete,generalist,specialist,intolerant,unsusceptible,1800000,397,9153,0.05,41889.402,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,0.1,-0.09,-0.92,-0.303333333,-1.3,1.14,-0.08
1970,459,COHA,5,partial,generalist,generalist,tolerant,susceptible,840000,452,105,0.05,41889.402,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,0.1,-0.09,-0.92,-0.303333333,-1.3,1.14,-0.08
1970,459,GOEA,6,partial,generalist,generalist,intolerant,susceptible,63000,4200,15,0.05,41889.402,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,0.1,-0.09,-0.92,-0.303333333,-1.3,1.14,-0.08
1970,459,MERL,7,partial,specialist,generalist,tolerant,susceptible,1600000,222,15,0.05,41889.402,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,0.1,-0.09,-0.92,-0.303333333,-1.3,1.14,-0.08
1970,459,NOGO,8,partial,generalist,specialist,intolerant,susceptible,210000,990,75,0.05,41889.402,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,0.1,-0.09,-0.92,-0.303333333,-1.3,1.14,-0.08
1970,459,NOHA,9,partial,generalist,specialist,intolerant,susceptible,820000,447,249,0.05,41889.402,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,0.1,-0.09,-0.92,-0.303333333,-1.3,1.14,-0.08
1970,459,OSPR,10,partial,specialist,specialist,tolerant,susceptible,400000,1570,348,0.05,41889.402,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,0.1,-0.09,-0.92,-0.303333333,-1.3,1.14,-0.08
1970,459,PEFA,11,partial,specialist,generalist,tolerant,susceptible,37000,794,17,0.05,41889.402,0.38,0.11,0.18,0.08,0.14,3871218,192301,0.0688,0.0084,0.1627,0.1,-0.09,-0.92,-0.303333333,-1.3,1.14,-0.08
