DATE,MAPOP
1970-01-01,5689.170
1971-01-01,5737.580
1972-01-01,5760.302
1973-01-01,5781.172
1974-01-01,5773.548
1975-01-01,5757.756
1976-01-01,5743.672
1977-01-01,5738.199
1978-01-01,5736.469
1979-01-01,5738.404
1980-01-01,5746.075
1981-01-01,5768.685
1982-01-01,5771.222
1983-01-01,5799.407
1984-01-01,5840.773
1985-01-01,5880.733
1986-01-01,5902.678
1987-01-01,5935.204
1988-01-01,5979.982
1989-01-01,6015.478
1990-01-01,6018.664
1991-01-01,5998.652
1992-01-01,5993.474
1993-01-01,6010.884
1994-01-01,6031.352
1995-01-01,6062.335
1996-01-01,6085.393
1997-01-01,6115.476
1998-01-01,6144.407
1999-01-01,6175.169
2000-01-01,6361.104
2001-01-01,6397.634
2002-01-01,6417.206
2003-01-01,6422.565
2004-01-01,6412.281
2005-01-01,6403.290
2006-01-01,6410.084
2007-01-01,6431.559
2008-01-01,6468.967
2009-01-01,6517.613
2010-01-01,6566.431
2011-01-01,6613.149
2012-01-01,6663.158
2013-01-01,6713.944
2014-01-01,6763.652
2015-01-01,6795.891
2016-01-01,6826.022
2017-01-01,6863.246
2018-01-01,6902.149
