DATE,NHPOP
1970-01-01,737.681
1971-01-01,761.851
1972-01-01,781.107
1973-01-01,800.951
1974-01-01,815.914
1975-01-01,828.555
1976-01-01,845.248
1977-01-01,869.763
1978-01-01,891.520
1979-01-01,909.074
1980-01-01,924.250
1981-01-01,936.621
1982-01-01,947.719
1983-01-01,958.134
1984-01-01,976.864
1985-01-01,996.753
1986-01-01,1025.053
1987-01-01,1054.289
1988-01-01,1082.577
1989-01-01,1104.522
1990-01-01,1111.831
1991-01-01,1107.055
1992-01-01,1112.766
1993-01-01,1122.191
1994-01-01,1133.054
1995-01-01,1145.604
1996-01-01,1160.768
1997-01-01,1173.239
1998-01-01,1185.823
1999-01-01,1201.134
2000-01-01,1239.882
2001-01-01,1255.517
2002-01-01,1269.089
2003-01-01,1279.840
2004-01-01,1290.121
2005-01-01,1298.492
2006-01-01,1308.389
2007-01-01,1312.540
2008-01-01,1315.906
2009-01-01,1316.102
2010-01-01,1316.777
2011-01-01,1319.815
2012-01-01,1323.962
2013-01-01,1326.408
2014-01-01,1333.223
2015-01-01,1336.294
2016-01-01,1342.373
2017-01-01,1349.767
2018-01-01,1356.458
