DATE,PAPOP
1970-01-01,11800.766
1971-01-01,11886.400
1972-01-01,11908.233
1973-01-01,11890.527
1974-01-01,11870.884
1975-01-01,11906.095
1976-01-01,11897.378
1977-01-01,11893.591
1978-01-01,11879.396
1979-01-01,11887.975
1980-01-01,11868.305
1981-01-01,11858.567
1982-01-01,11845.146
1983-01-01,11837.723
1984-01-01,11815.172
1985-01-01,11770.862
1986-01-01,11782.752
1987-01-01,11810.866
1988-01-01,11845.752
1989-01-01,11865.996
1990-01-01,11895.604
1991-01-01,11943.160
1992-01-01,11980.819
1993-01-01,12022.128
1994-01-01,12042.545
1995-01-01,12044.780
1996-01-01,12038.008
1997-01-01,12015.888
1998-01-01,12002.329
1999-01-01,11994.016
2000-01-01,12284.173
2001-01-01,12298.970
2002-01-01,12331.031
2003-01-01,12374.658
2004-01-01,12410.722
2005-01-01,12449.990
2006-01-01,12510.809
2007-01-01,12563.937
2008-01-01,12612.285
2009-01-01,12666.858
2010-01-01,12711.158
2011-01-01,12744.583
2012-01-01,12766.827
2013-01-01,12776.621
2014-01-01,12789.101
2015-01-01,12785.759
2016-01-01,12783.538
2017-01-01,12790.447
2018-01-01,12807.06
