DATE,VTPOP
1970-01-01,444.732
1971-01-01,454.318
1972-01-01,463.143
1973-01-01,468.430
1974-01-01,473.002
1975-01-01,479.713
1976-01-01,484.928
1977-01-01,491.931
1978-01-01,498.109
1979-01-01,505.372
1980-01-01,512.524
1981-01-01,515.594
1982-01-01,519.109
1983-01-01,523.302
1984-01-01,526.660
1985-01-01,530.035
1986-01-01,534.066
1987-01-01,540.267
1988-01-01,549.763
1989-01-01,557.707
1990-01-01,564.526
1991-01-01,567.141
1992-01-01,570.115
1993-01-01,574.004
1994-01-01,578.900
1995-01-01,582.827
1996-01-01,586.352
1997-01-01,588.665
1998-01-01,590.579
1999-01-01,593.740
2000-01-01,609.618
2001-01-01,612.223
2002-01-01,615.442
2003-01-01,617.858
2004-01-01,619.920
2005-01-01,621.215
2006-01-01,622.892
2007-01-01,623.481
2008-01-01,624.151
2009-01-01,624.817
2010-01-01,625.88
2011-01-01,626.979
2012-01-01,626.063
2013-01-01,626.212
2014-01-01,625.218
2015-01-01,625.197
2016-01-01,623.644
2017-01-01,624.525
2018-01-01,626.299
