year,obs.hours,species,spcode,count,NE Urban,NE Deciduous Forest ,NE Evergreen Forest, NE Mixed Forest,NE Agriculture,dummy temp
1946,594,AMKE,1,99,0.09,1.65,0.63,1.26,1.39,35
1947,592,AMKE,1,116,0.09,1.65,0.63,1.26,1.39,35
1948,577,AMKE,1,145,0.09,1.65,0.63,1.26,1.39,35
1949,640,AMKE,1,339,0.09,1.65,0.63,1.26,1.39,35
1950,625,AMKE,1,234,0.11,1.73,0.6,1,1.21,31
1951,561,AMKE,1,247,0.11,1.73,0.6,1,1.21,31
1952,636,AMKE,1,219,0.11,1.73,0.6,1,1.21,31
1953,651,AMKE,1,220,0.11,1.73,0.6,1,1.21,31
1954,630,AMKE,1,174,0.11,1.73,0.6,1,1.21,31
1955,630,AMKE,1,264,0.11,1.73,0.6,1,1.21,31
1956,586,AMKE,1,204,0.11,1.73,0.6,1,1.21,31
1957,601,AMKE,1,174,0.11,1.73,0.6,1,1.21,31
1958,654,AMKE,1,217,0.11,1.73,0.6,1,1.21,31
1959,623,AMKE,1,281,0.11,1.73,0.6,1,1.21,31
1960,635,AMKE,1,221,0.15,1.47,0.7,1.1,1.2,21
1961,673,AMKE,1,464,0.15,1.47,0.7,1.1,1.2,21
1962,650,AMKE,1,456,0.15,1.47,0.7,1.1,1.2,21
1963,718,AMKE,1,260,0.15,1.47,0.7,1.1,1.2,21
1964,711,AMKE,1,235,0.15,1.47,0.7,1.1,1.2,21
1965,688,AMKE,1,391,0.15,1.47,0.7,1.1,1.2,21
1966,575,AMKE,1,539,0.15,1.47,0.7,1.1,1.2,21
1967,552,AMKE,1,554,0.15,1.47,0.7,1.1,1.2,21
1968,511,AMKE,1,592,0.15,1.47,0.7,1.1,1.2,21
1969,817,AMKE,1,537,0.15,1.47,0.7,1.1,1.2,21
1970,459,AMKE,1,409,0.15,1.8,0.69,1.05,0.95,19
1971,320,AMKE,1,365,0.15,1.8,0.69,1.05,0.95,19
1972,437,AMKE,1,393,0.15,1.8,0.69,1.05,0.95,19
1973,518,AMKE,1,479,0.15,1.8,0.69,1.05,0.95,19
1974,531,AMKE,1,434,0.15,1.8,0.69,1.05,0.95,19
1975,490,AMKE,1,487,0.15,1.8,0.69,1.05,0.95,19
1976,557,AMKE,1,413,0.15,1.8,0.69,1.05,0.95,19
1977,541,AMKE,1,705,0.15,1.8,0.69,1.05,0.95,19
1978,664,AMKE,1,370,0.15,1.8,0.69,1.05,0.95,19
1979,752,AMKE,1,544,0.15,1.8,0.69,1.05,0.95,19
1980,878,AMKE,1,529,0.17,1.81,0.7,1.05,0.9,19
1981,814,AMKE,1,708,0.17,1.81,0.7,1.05,0.9,19
1982,875,AMKE,1,400,0.17,1.81,0.7,1.05,0.9,19
1983,912,AMKE,1,461,0.17,1.81,0.7,1.05,0.9,19
