"","Year","variable","value","Month"
"1",1950,"Jan",0.92,"Jan"
"2",1951,"Jan",0.08,"Jan"
"3",1952,"Jan",0.93,"Jan"
"4",1953,"Jan",0.33,"Jan"
"5",1954,"Jan",0.37,"Jan"
"6",1955,"Jan",-1.84,"Jan"
"7",1956,"Jan",-0.22,"Jan"
"8",1957,"Jan",1.05,"Jan"
"9",1958,"Jan",-0.54,"Jan"
"10",1959,"Jan",-0.87,"Jan"
"11",1960,"Jan",-1.29,"Jan"
"12",1961,"Jan",0.41,"Jan"
"13",1962,"Jan",0.61,"Jan"
"14",1963,"Jan",-2.12,"Jan"
"15",1964,"Jan",-0.95,"Jan"
"16",1965,"Jan",-0.12,"Jan"
"17",1966,"Jan",-1.74,"Jan"
"18",1967,"Jan",-0.89,"Jan"
"19",1968,"Jan",0.13,"Jan"
"20",1969,"Jan",-0.83,"Jan"
"21",1970,"Jan",-1.5,"Jan"
"22",1971,"Jan",-1.13,"Jan"
"23",1972,"Jan",0.27,"Jan"
"24",1973,"Jan",0.04,"Jan"
"25",1974,"Jan",1.34,"Jan"
"26",1975,"Jan",0.58,"Jan"
"27",1976,"Jan",-0.25,"Jan"
"28",1977,"Jan",-1.04,"Jan"
"29",1978,"Jan",0.66,"Jan"
"30",1979,"Jan",-1.38,"Jan"
"31",1980,"Jan",-0.75,"Jan"
"32",1981,"Jan",0.37,"Jan"
"33",1982,"Jan",-0.89,"Jan"
"34",1983,"Jan",1.59,"Jan"
"35",1984,"Jan",1.66,"Jan"
"36",1985,"Jan",-1.61,"Jan"
"37",1986,"Jan",1.11,"Jan"
"38",1987,"Jan",-1.15,"Jan"
"39",1988,"Jan",1.02,"Jan"
"40",1989,"Jan",1.17,"Jan"
"41",1990,"Jan",1.04,"Jan"
"42",1991,"Jan",0.86,"Jan"
"43",1992,"Jan",-0.13,"Jan"
"44",1993,"Jan",1.6,"Jan"
"45",1994,"Jan",1.04,"Jan"
"46",1995,"Jan",0.93,"Jan"
"47",1996,"Jan",-0.12,"Jan"
"48",1997,"Jan",-0.49,"Jan"
"49",1998,"Jan",0.39,"Jan"
"50",1999,"Jan",0.77,"Jan"
"51",2000,"Jan",0.6,"Jan"
"52",2001,"Jan",0.25,"Jan"
"53",2002,"Jan",0.44,"Jan"
"54",2003,"Jan",0.16,"Jan"
"55",2004,"Jan",-0.29,"Jan"
"56",2005,"Jan",1.52,"Jan"
"57",2006,"Jan",1.27,"Jan"
"58",2007,"Jan",0.22,"Jan"
"59",2008,"Jan",0.89,"Jan"
"60",2009,"Jan",-0.01,"Jan"
"61",2010,"Jan",-1.11,"Jan"
"62",2011,"Jan",-0.88,"Jan"
"63",2012,"Jan",1.17,"Jan"
"64",2013,"Jan",0.35,"Jan"
"65",2014,"Jan",0.29,"Jan"
"66",2015,"Jan",1.79,"Jan"
"67",2016,"Jan",0.12,"Jan"
"68",2017,"Jan",0.48,"Jan"
"69",2018,"Jan",1.44,"Jan"
"70",1950,"Feb",0.4,"Feb"
"71",1951,"Feb",0.7,"Feb"
"72",1952,"Feb",-0.83,"Feb"
"73",1953,"Feb",-0.49,"Feb"
"74",1954,"Feb",0.74,"Feb"
"75",1955,"Feb",-1.12,"Feb"
"76",1956,"Feb",-1.12,"Feb"
"77",1957,"Feb",0.11,"Feb"
"78",1958,"Feb",-1.06,"Feb"
"79",1959,"Feb",0.68,"Feb"
"80",1960,"Feb",-1.89,"Feb"
"81",1961,"Feb",0.45,"Feb"
"82",1962,"Feb",0.55,"Feb"
"83",1963,"Feb",-0.96,"Feb"
"84",1964,"Feb",-1.43,"Feb"
"85",1965,"Feb",-1.55,"Feb"
"86",1966,"Feb",-1.39,"Feb"
"87",1967,"Feb",0.19,"Feb"
"88",1968,"Feb",-1.29,"Feb"
"89",1969,"Feb",-1.55,"Feb"
"90",1970,"Feb",0.64,"Feb"
"91",1971,"Feb",0.24,"Feb"
"92",1972,"Feb",0.32,"Feb"
"93",1973,"Feb",0.85,"Feb"
"94",1974,"Feb",-0.14,"Feb"
"95",1975,"Feb",-0.62,"Feb"
"96",1976,"Feb",0.93,"Feb"
"97",1977,"Feb",-0.49,"Feb"
"98",1978,"Feb",-2.2,"Feb"
"99",1979,"Feb",-0.67,"Feb"
"100",1980,"Feb",0.05,"Feb"
"101",1981,"Feb",0.92,"Feb"
"102",1982,"Feb",1.15,"Feb"
"103",1983,"Feb",-0.53,"Feb"
"104",1984,"Feb",0.72,"Feb"
"105",1985,"Feb",-0.49,"Feb"
"106",1986,"Feb",-1,"Feb"
"107",1987,"Feb",-0.73,"Feb"
"108",1988,"Feb",0.76,"Feb"
"109",1989,"Feb",2,"Feb"
"110",1990,"Feb",1.41,"Feb"
"111",1991,"Feb",1.04,"Feb"
"112",1992,"Feb",1.07,"Feb"
"113",1993,"Feb",0.5,"Feb"
"114",1994,"Feb",0.46,"Feb"
"115",1995,"Feb",1.14,"Feb"
"116",1996,"Feb",-0.07,"Feb"
"117",1997,"Feb",1.7,"Feb"
"118",1998,"Feb",-0.11,"Feb"
"119",1999,"Feb",0.29,"Feb"
"120",2000,"Feb",1.7,"Feb"
"121",2001,"Feb",0.45,"Feb"
"122",2002,"Feb",1.1,"Feb"
"123",2003,"Feb",0.62,"Feb"
"124",2004,"Feb",-0.14,"Feb"
"125",2005,"Feb",-0.06,"Feb"
"126",2006,"Feb",-0.51,"Feb"
"127",2007,"Feb",-0.47,"Feb"
"128",2008,"Feb",0.73,"Feb"
